  -9.8887862e+00   6.8139852e-01
  -9.8887862e+00  -6.8139852e-01
  -8.0121501e+00   6.1337293e-01
  -8.0121501e+00  -6.1337293e-01
  -6.3326508e+00   5.4505604e-01
  -6.3326508e+00  -5.4505604e-01
  -4.8510496e+00   4.7637121e-01
  -4.8510496e+00  -4.7637121e-01
  -3.5683142e+00   4.0716171e-01
  -3.5683142e+00  -4.0716171e-01
  -2.4858765e+00   3.3710779e-01
  -2.4858765e+00  -3.3710779e-01
  -1.6062671e+00   2.6553838e-01
  -1.6062671e+00  -2.6553838e-01
  -9.3482720e-01   1.9067608e-01
  -9.3482720e-01  -1.9067608e-01
  -4.5884733e-01   1.0536608e-01
  -4.5884733e-01  -1.0536608e-01
  -4.1303286e-01   6.0996433e-02
  -4.1303286e-01  -6.0996433e-02
  -1.0249517e-03   0.0000000e+00
